Y_precipitation_t1,Y_T2MMEAN_t1,Y_RelHumSurf_t1,Y_CloudFrc_t1,Y_Psurf_f_tavg_t1,Y_precipitation_t2,Y_T2MMEAN_t2,Y_RelHumSurf_t2,Y_CloudFrc_t2,Y_Psurf_f_tavg_t2,Y_precipitation_t3,Y_T2MMEAN_t3,Y_RelHumSurf_t3,Y_CloudFrc_t3,Y_Psurf_f_tavg_t3,Y_precipitation_t4,Y_T2MMEAN_t4,Y_RelHumSurf_t4,Y_CloudFrc_t4,Y_Psurf_f_tavg_t4,Y_precipitation_t5,Y_T2MMEAN_t5,Y_RelHumSurf_t5,Y_CloudFrc_t5,Y_Psurf_f_tavg_t5,Y_precipitation_t6,Y_T2MMEAN_t6,Y_RelHumSurf_t6,Y_CloudFrc_t6,Y_Psurf_f_tavg_t6,Y_precipitation_t7,Y_T2MMEAN_t7,Y_RelHumSurf_t7,Y_CloudFrc_t7,Y_Psurf_f_tavg_t7,Y_precipitation_t8,Y_T2MMEAN_t8,Y_RelHumSurf_t8,Y_CloudFrc_t8,Y_Psurf_f_tavg_t8,Y_precipitation_t9,Y_T2MMEAN_t9,Y_RelHumSurf_t9,Y_CloudFrc_t9,Y_Psurf_f_tavg_t9,Y_precipitation_t10,Y_T2MMEAN_t10,Y_RelHumSurf_t10,Y_CloudFrc_t10,Y_Psurf_f_tavg_t10,date
2.768242,273.67352,65.908745,0.66879684,93840.74,3.853204,269.75244,69.11394,0.8616291,94212.23,2.8236446,266.4365,75.268585,0.74857736,94351.3,2.2924275,265.82874,72.537415,0.69466025,94832.39,1.1492639,264.43515,77.997475,0.6602659,95077.055,4.0521383,266.51465,70.12622,0.7889104,94405.21,0.28013453,261.97845,83.02274,0.43898234,95406.305,0.34932512,260.7484,80.79516,0.625249,95064.67,0.46905485,262.1179,71.15847,0.8471798,94702.07,0.20531873,258.6581,80.3513,0.487587,95155.32,2002-12-18
3.853204,269.75244,69.11394,0.8616291,94212.23,2.8236446,266.4365,75.268585,0.74857736,94351.3,2.2924275,265.82874,72.537415,0.69466025,94832.39,1.1492639,264.43515,77.997475,0.6602659,95077.055,4.0521383,266.51465,70.12622,0.7889104,94405.21,0.28013453,261.97845,83.02274,0.43898234,95406.305,0.34932512,260.7484,80.79516,0.625249,95064.67,0.46905485,262.1179,71.15847,0.8471798,94702.07,0.20531873,258.6581,80.3513,0.487587,95155.32,0.31348982,254.2319,82.43196,0.37823543,95243.266,2002-12-19
2.8236446,266.4365,75.268585,0.74857736,94351.3,2.2924275,265.82874,72.537415,0.69466025,94832.39,1.1492639,264.43515,77.997475,0.6602659,95077.055,4.0521383,266.51465,70.12622,0.7889104,94405.21,0.28013453,261.97845,83.02274,0.43898234,95406.305,0.34932512,260.7484,80.79516,0.625249,95064.67,0.46905485,262.1179,71.15847,0.8471798,94702.07,0.20531873,258.6581,80.3513,0.487587,95155.32,0.31348982,254.2319,82.43196,0.37823543,95243.266,0.20383783,254.91678,78.934456,0.28637472,94773.36,2002-12-20
2.2924275,265.82874,72.537415,0.69466025,94832.39,1.1492639,264.43515,77.997475,0.6602659,95077.055,4.0521383,266.51465,70.12622,0.7889104,94405.21,0.28013453,261.97845,83.02274,0.43898234,95406.305,0.34932512,260.7484,80.79516,0.625249,95064.67,0.46905485,262.1179,71.15847,0.8471798,94702.07,0.20531873,258.6581,80.3513,0.487587,95155.32,0.31348982,254.2319,82.43196,0.37823543,95243.266,0.20383783,254.91678,78.934456,0.28637472,94773.36,0.23076925,258.59705,81.74208,0.25813797,94422.41,2002-12-21
1.1492639,264.43515,77.997475,0.6602659,95077.055,4.0521383,266.51465,70.12622,0.7889104,94405.21,0.28013453,261.97845,83.02274,0.43898234,95406.305,0.34932512,260.7484,80.79516,0.625249,95064.67,0.46905485,262.1179,71.15847,0.8471798,94702.07,0.20531873,258.6581,80.3513,0.487587,95155.32,0.31348982,254.2319,82.43196,0.37823543,95243.266,0.20383783,254.91678,78.934456,0.28637472,94773.36,0.23076925,258.59705,81.74208,0.25813797,94422.41,0.2086522,263.4155,79.82856,0.3153287,93715.49,2002-12-22
4.0521383,266.51465,70.12622,0.7889104,94405.21,0.28013453,261.97845,83.02274,0.43898234,95406.305,0.34932512,260.7484,80.79516,0.625249,95064.67,0.46905485,262.1179,71.15847,0.8471798,94702.07,0.20531873,258.6581,80.3513,0.487587,95155.32,0.31348982,254.2319,82.43196,0.37823543,95243.266,0.20383783,254.91678,78.934456,0.28637472,94773.36,0.23076925,258.59705,81.74208,0.25813797,94422.41,0.2086522,263.4155,79.82856,0.3153287,93715.49,1.0785753,267.38422,75.19745,0.42082763,93604.11,2002-12-23
0.28013453,261.97845,83.02274,0.43898234,95406.305,0.34932512,260.7484,80.79516,0.625249,95064.67,0.46905485,262.1179,71.15847,0.8471798,94702.07,0.20531873,258.6581,80.3513,0.487587,95155.32,0.31348982,254.2319,82.43196,0.37823543,95243.266,0.20383783,254.91678,78.934456,0.28637472,94773.36,0.23076925,258.59705,81.74208,0.25813797,94422.41,0.2086522,263.4155,79.82856,0.3153287,93715.49,1.0785753,267.38422,75.19745,0.42082763,93604.11,0.8988568,265.66885,78.266174,0.56650376,94789.734,2002-12-24
0.34932512,260.7484,80.79516,0.625249,95064.67,0.46905485,262.1179,71.15847,0.8471798,94702.07,0.20531873,258.6581,80.3513,0.487587,95155.32,0.31348982,254.2319,82.43196,0.37823543,95243.266,0.20383783,254.91678,78.934456,0.28637472,94773.36,0.23076925,258.59705,81.74208,0.25813797,94422.41,0.2086522,263.4155,79.82856,0.3153287,93715.49,1.0785753,267.38422,75.19745,0.42082763,93604.11,0.8988568,265.66885,78.266174,0.56650376,94789.734,0.1354053,265.24747,81.33066,0.2390153,93776.016,2002-12-25
0.46905485,262.1179,71.15847,0.8471798,94702.07,0.20531873,258.6581,80.3513,0.487587,95155.32,0.31348982,254.2319,82.43196,0.37823543,95243.266,0.20383783,254.91678,78.934456,0.28637472,94773.36,0.23076925,258.59705,81.74208,0.25813797,94422.41,0.2086522,263.4155,79.82856,0.3153287,93715.49,1.0785753,267.38422,75.19745,0.42082763,93604.11,0.8988568,265.66885,78.266174,0.56650376,94789.734,0.1354053,265.24747,81.33066,0.2390153,93776.016,0.31615242,266.58044,73.30537,0.53460455,93979.99,2002-12-26
0.20531873,258.6581,80.3513,0.487587,95155.32,0.31348982,254.2319,82.43196,0.37823543,95243.266,0.20383783,254.91678,78.934456,0.28637472,94773.36,0.23076925,258.59705,81.74208,0.25813797,94422.41,0.2086522,263.4155,79.82856,0.3153287,93715.49,1.0785753,267.38422,75.19745,0.42082763,93604.11,0.8988568,265.66885,78.266174,0.56650376,94789.734,0.1354053,265.24747,81.33066,0.2390153,93776.016,0.31615242,266.58044,73.30537,0.53460455,93979.99,0.34897578,264.75107,76.31887,0.73687375,94402.52,2002-12-27
